"CustomerID,Churn_Probability_%"
"5542-TBBWB,69.49"
"8974-OVACP,67.26"
"7243-LCGGZ,64.9"
"9753-OYLBX,63.02"
"8040-MNRTF,56.71"
"1452-VOQCH,55.3"
"1640-PLFMP,53.56"
"3976-NLDEZ,50.1"
"2275-RBYQS,48.08"
"8203-XJZRC,45.72"
"1905-OEILC,44.9"
"2369-FEVNO,43.81"
"7698-YFGEZ,41.56"
"3785-NRHYR,38.87"
"7721-DVEKZ,38.87"
"0970-QXPXW,38.87"
"3462-BJQQA,38.2"
"1628-BIZYP,37.4"
"6496-JDSSB,36.8"
"3930-ZGWVE,36.6"
"6124-ACRHJ,36.6"
"2545-EBUPK,36.4"
"1200-TUZHR,36.2"
"0670-KDOMA,36.03"
"2081-KJSQF,36.03"
"5150-ITWWB,36.0"
"4234-XTNEA,35.4"
"1855-AGAWH,35.2"
"2215-ZAFGX,35.0"
"9603-OAIHC,35.0"
"7952-OBOYL,34.8"
"8087-LGYHQ,34.6"
"7465-ZZRVX,34.22"
"5043-TRZWM,34.2"
"3878-AVSOQ,34.2"
"6212-ATMLK,34.0"
"2262-SLNVK,34.0"
"8161-QYMTT,34.0"
"5133-POWUA,33.84"
"7439-DKZTW,33.8"
"1751-NCDLI,33.8"
"7590-VHVEG,33.8"
"2254-DLXRI,33.8"
"4132-KALRO,33.8"
"8785-CJSHH,33.6"
"0928-XUTSN,33.4"
"4929-XIHVW,33.4"
"9957-YODKZ,33.2"
"7577-SWIFR,33.2"
"2103-ZRXFN,33.2"
"7994-UYIVZ,33.0"
"0224-RLWWD,33.0"
"9743-DQKQW,32.8"
"9290-SHCMB,32.8"
"1666-JXLKU,32.8"
"5999-LCXAO,32.8"
"1393-IMKZG,32.8"
"6579-JPICP,32.78"
"3727-JEZTU,32.78"
"6654-QGBZZ,32.73"
"7878-RTCZG,32.73"
"8875-AKBYH,32.6"
"4912-PIGUY,32.5"
"3370-HXOPH,32.4"
"5216-WASFJ,32.4"
"2789-HQBOU,32.4"
"3320-VEOYC,32.4"
"6215-NQCPY,32.4"
"6350-XFYGW,32.2"
"7365-BVCJH,32.2"
"4445-ZJNMU,32.2"
"4749-OJKQU,32.2"
"0168-XZKBB,32.2"
"6918-UMQCG,32.0"
"3318-NMQXL,32.0"
"1508-DFXCU,32.0"
"3411-WLRSQ,32.0"
"7402-EYFXX,32.0"
"4559-UWIHT,31.8"
"7363-QTBIW,31.8"
"0674-DGMAQ,31.6"
"5858-EAFCZ,31.6"
"7278-CKDNC,31.6"
"4298-OYIFC,31.6"
"4090-KPJIP,31.58"
"6435-SRWBJ,31.4"
"7537-RBWEA,31.4"
"3577-AMVUX,31.4"
"2235-DWLJU,31.4"
"5442-BHQNG,31.0"
"2688-BHGOG,31.0"
"7298-IZWLY,31.0"
"7823-JSOAG,30.85"
"4706-DGAHW,30.8"
"4059-IIEBK,30.8"
"3841-CONLJ,30.8"
"6357-JJPQT,30.8"
"4195-NZGTA,30.6"
"8107-KNCIM,30.4"
"2876-GZYZC,30.4"
"8695-ARGXZ,30.4"
"8775-ERLNB,30.2"
"8739-XNIKG,30.2"
"1197-BVMVG,30.2"
"9094-AZPHK,30.2"
"4633-MKHYU,30.0"
"8563-OYMQY,30.0"
"1469-LBJQJ,30.0"
"1746-TGTWV,29.88"
"2111-DWYHN,29.85"
"2081-VEYEH,29.8"
"1833-TCXKK,29.8"
"2880-FPNAE,29.6"
"3427-GGZZI,29.6"
"2984-AFWNC,29.6"
"3096-GKWEB,29.6"
"5760-IFJOZ,29.6"
"9840-EFJQB,29.27"
"6127-IYJOZ,29.24"
"3050-GBUSH,29.2"
"1960-UYCNN,29.2"
"0021-IKXGC,29.0"
"3295-YVUSR,29.0"
"6198-ZFIOJ,28.8"
"0410-IPFTY,28.8"
"4927-WWOOZ,28.8"
"2038-OEQZH,28.8"
"9605-WGJVW,28.7"
"5937-EORGB,28.6"
"2439-LYPMQ,28.6"
"8313-NDOIA,28.6"
"6630-UJZMY,28.6"
"3518-PZXZQ,28.6"
"2465-BLLEU,28.52"
"3338-CVVEH,28.4"
"6507-ZJSUR,28.4"
"5652-MSDEY,28.4"
"5968-VXZLG,28.2"
"4395-PZMSN,28.2"
"6229-LSCKB,28.2"
"2754-SDJRD,28.2"
"6734-GMPVK,28.0"
"6519-CFDBX,28.0"
"5630-IXDXV,28.0"
"6907-FLBER,28.0"
"4236-UJPWO,28.0"
"1078-TDCRN,27.8"
"3496-LFSZU,27.8"
"8622-ZLFKO,27.6"
"9506-UXUSK,27.6"
"6851-WEFYX,27.6"
"4854-CIDCF,27.6"
"4847-TAJYI,27.6"
"0247-SLUJI,27.4"
"7398-SKNQZ,27.4"
"4647-MUZON,27.4"
"3420-ZDBMA,27.4"
"6719-OXYBR,27.4"
"2665-NPTGL,27.4"
"7252-NTGSS,27.4"
"4583-PARNH,27.2"
"0082-LDZUE,27.2"
"4781-ZXYGU,27.12"
"8048-DSDFQ,27.05"
"6380-ARCEH,27.05"
"3247-MHJKM,27.05"
"2862-PFNIK,27.0"
"4521-YEEHE,27.0"
"6583-KQJLK,27.0"
"9214-EKVXR,27.0"
"7310-EGVHZ,26.91"
"8873-GLDMH,26.8"
"7852-LECYP,26.8"
"6116-RFVHN,26.8"
"8709-KRDVL,26.8"
"0928-JMXNP,26.8"
"6198-RTPMF,26.6"
"0599-XNYDO,26.6"
"4570-QHXHL,26.6"
"6048-QBXKL,26.6"
"3292-PBZEJ,26.6"
"7901-HXJVA,26.6"
"1728-BQDMA,26.6"
"8450-UYIBU,26.4"
"4060-LDNLU,26.4"
"4813-HQMGZ,26.4"
"7392-YYPYJ,26.4"
"6969-MVBAI,26.2"
"4367-NHWMM,26.2"
"2831-EBWRN,26.2"
"5233-AOZUF,26.2"
"0434-CSFON,26.2"
"1766-GKNMI,26.2"
"7858-GTZSP,26.2"
"4123-FCVCB,26.2"
"0396-YCHWO,26.2"
"2866-IKBTM,26.19"
"7601-WFVZV,26.19"
"8605-ITULD,26.19"
"7321-VGNKU,26.13"
"9050-IKDZA,26.1"
"3384-CTMSF,26.0"
"2107-FBPTK,26.0"
"6407-UTSLV,26.0"
"3995-WFCSM,26.0"
